Event.ID	Disease	Serotype	Diagnosis.source	Diagnosis.status	Animal.type	Species	Observation.date..dd.mm.yyyy.	Report.date..dd.mm.yyyy.	Humans.affected	Human.deaths	Latitude	Longitude	Original location	Country	Admin. level 1	Locality	Country OSM ID	Admin. level 1 OSM ID	Locality OSM ID
294456	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Anserinae (Unidentified):Anserinae (Incognita)(Anatidae)	13/04/2021	29/04/2021			54.48	9.7							
294012	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Swan	31/03/2021	23/04/2021			58.73	5.56							
295991	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Chicken	31/03/2021	19/05/2021			48.04	7.65							
295048	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Chicken	26/03/2021	06/05/2021			47.61	7.9							
294016	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Eurasian Buzzard (Common Buzzard):Buteo Buteo(Accipitridae)	25/03/2021	23/04/2021			57.741112	13.144776							
294644	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Anserinae (Unidentified):Anserinae (Incognita)(Anatidae)	25/03/2021	30/04/2021			52.65	8.19							
295166	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	11/03/2021	07/05/2021			55.5522	11.2667							
293218	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	10/03/2021	12/04/2021			54.30053	13.074642							
292911	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Goose	07/03/2021	06/04/2021			57.97704	12.23825							
291983	Influenza - Avian	H5 HPAI	OIE	Confirmed	Wild	Unspecified Bird	05/03/2021	20/03/2021			51.0203	3.7472							
295546	Influenza - Avian	H5N5 HPAI	OIE	Confirmed	Wild	Crow	05/03/2021	11/05/2021			55.7115	11.6294							
296148	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Accipitridae (Accipitridae)	05/03/2021	20/05/2021			52.12	13.44							
296192	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Swan	04/03/2021	25/05/2021			50.1237	8.7745							
290762	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Mute Swan:cygnus Olor(Anatidae)	01/03/2021	16/03/2021			45.1061	19.0344							
295227	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	01/03/2021	07/05/2021			43.449974	0.43643							
296429	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Swan	26/02/2021	27/05/2021			51.34	14.87							
296545	Influenza - Avian	H5 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	26/02/2021	28/05/2021			46.7156	31.9741							
291559	Influenza - Avian	H5 HPAI	OIE	Confirmed	Wild	Laridae (Unidentified):Laridae (Incognita)(Laridae)	19/02/2021	25/03/2021			48.239	16.396							
295930	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Anserinae (Unidentified):Anserinae (Incognita)(Anatidae)	17/02/2021	19/05/2021			49.58	10.9							
293054	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Peregrin Falcon:falco Peregrinus(Falconidae)	15/02/2021	08/04/2021			36.4007	139.6876							
288811	Influenza - Avian	H5N5 HPAI	OIE	Confirmed	Wild	Mute Swan:cygnus Olor(Anatidae)	10/02/2021	10/02/2021			46.828163	15.565974							
288039	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	30/01/2021	03/02/2021			53.52	19.77							
288844	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	27/01/2021	15/02/2021			11.5941	8.342							
293220	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Turkey	27/01/2021	14/04/2021			47.843915	40.049975							
293461	Influenza - Avian	H5N6 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	25/01/2021	18/04/2021			21.1966	105.9284							
287592	Influenza - Avian	H5N5 HPAI	OIE	Confirmed	Wild	Laridae (Unidentified):Laridae (Incognita)(Laridae)	22/01/2021	28/01/2021			47.99	11.17							
287581	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Mallard:anas Platyrhynchos(Anatidae)	18/01/2021	28/01/2021			35.254278	128.305532							
287148	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Stork	16/01/2021	22/01/2021			31.813486	130.30395							
288782	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Barnacle Goose:branta Leucopsis(Anatidae)	15/01/2021	12/02/2021			55.074034	8.662243							
286993	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Mute Swan:cygnus Olor(Anatidae)	13/01/2021	22/01/2021			60.35	5.35							
287073	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	12/01/2021	22/01/2021			43.9435	0.101863							
287065	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	11/01/2021	22/01/2021			43.3017	-0.3686							
287067	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	11/01/2021	22/01/2021			43.570554	-0.722065							
287072	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	11/01/2021	22/01/2021			43.6738	-0.841241							
295256	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	11/01/2021	07/05/2021			43.703281	-0.63059							
287043	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	10/01/2021	22/01/2021			43.880915	0.01753							
293483	Influenza - Avian	H5N6 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	10/01/2021	18/04/2021			18.9094	105.4677							
286275	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	09/01/2021	13/01/2021			53.99	20.61							
